frame_id,kp_name,kp_index,x_2d,y_2d
29,left_hip,11,NaN,NaN
29,right_hip,12,NaN,NaN
29,left_knee,13,NaN,NaN
29,right_knee,14,NaN,NaN
29,left_ankle,15,NaN,NaN
29,right_ankle,16,NaN,NaN
30,nose,0,1005.3794,657.7977
30,left_eye,1,1141.9288,534.52325
30,right_eye,2,943.06335,545.34973
30,left_ear,3,1280.0,585.7794
30,right_ear,4,NaN,NaN
30,left_shoulder,5,NaN,NaN
30,right_shoulder,6,842.83997,941.5754
30,left_elbow,7,NaN,NaN
30,right_elbow,8,NaN,NaN
30,left_wrist,9,NaN,NaN
30,right_wrist,10,NaN,NaN
30,left_hip,11,NaN,NaN
30,right_hip,12,NaN,NaN
30,left_knee,13,NaN,NaN
30,right_knee,14,NaN,NaN
30,left_ankle,15,NaN,NaN
30,right_ankle,16,NaN,NaN
31,nose,0,998.1062,651.1161
31,left_eye,1,1133.4542,526.95795
31,right_eye,2,938.7074,539.79553
31,left_ear,3,1280.0,576.1001
31,right_ear,4,NaN,NaN
31,left_shoulder,5,NaN,NaN
31,right_shoulder,6,840.62335,944.80383
31,left_elbow,7,NaN,NaN
31,right_elbow,8,NaN,NaN
31,left_wrist,9,NaN,NaN
31,right_wrist,10,NaN,NaN
31,left_hip,11,NaN,NaN
31,right_hip,12,NaN,NaN
31,left_knee,13,NaN,NaN
31,right_knee,14,NaN,NaN
31,left_ankle,15,NaN,NaN
31,right_ankle,16,NaN,NaN
32,nose,0,992.34814,646.6732
32,left_eye,1,1125.3337,520.75165
32,right_eye,2,933.3871,536.60187
32,left_ear,3,1280.0,565.5516
32,right_ear,4,NaN,NaN
32,left_shoulder,5,NaN,NaN
32,right_shoulder,6,837.8639,944.3601
32,left_elbow,7,NaN,NaN
32,right_elbow,8,NaN,NaN
32,left_wrist,9,NaN,NaN
32,right_wrist,10,NaN,NaN
32,left_hip,11,NaN,NaN
32,right_hip,12,NaN,NaN
32,left_knee,13,NaN,NaN
32,right_knee,14,NaN,NaN
32,left_ankle,15,NaN,NaN
32,right_ankle,16,NaN,NaN
33,nose,0,986.365,638.44763
33,left_eye,1,1118.6583,516.84705
33,right_eye,2,927.19556,531.8221
33,left_ear,3,1280.0,562.11523
33,right_ear,4,NaN,NaN
33,left_shoulder,5,NaN,NaN
33,right_shoulder,6,831.1182,933.10223
33,left_elbow,7,NaN,NaN
33,right_elbow,8,NaN,NaN
33,left_wrist,9,NaN,NaN
33,right_wrist,10,NaN,NaN
33,left_hip,11,NaN,NaN
33,right_hip,12,NaN,NaN
33,left_knee,13,NaN,NaN
33,right_knee,14,NaN,NaN
33,left_ankle,15,NaN,NaN
33,right_ankle,16,NaN,NaN
34,nose,0,971.4807,625.6013
34,left_eye,1,1100.654,506.30377
34,right_eye,2,913.7245,527.69965
34,left_ear,3,1280.0,551.81744
34,right_ear,4,NaN,NaN
34,left_shoulder,5,NaN,NaN
34,right_shoulder,6,823.6533,932.7568
34,left_elbow,7,NaN,NaN
34,right_elbow,8,NaN,NaN
34,left_wrist,9,NaN,NaN
34,right_wrist,10,NaN,NaN
34,left_hip,11,NaN,NaN
34,right_hip,12,NaN,NaN
34,left_knee,13,NaN,NaN
34,right_knee,14,NaN,NaN
34,left_ankle,15,NaN,NaN
34,right_ankle,16,NaN,NaN
35,nose,0,964.43353,618.2639
35,left_eye,1,1088.7859,503.15683
35,right_eye,2,909.00116,523.45056
35,left_ear,3,1280.0,549.3819
35,right_ear,4,NaN,NaN
35,left_shoulder,5,NaN,NaN
35,right_shoulder,6,816.0368,930.93823
35,left_elbow,7,NaN,NaN
35,right_elbow,8,NaN,NaN
35,left_wrist,9,NaN,NaN
35,right_wrist,10,NaN,NaN
35,left_hip,11,NaN,NaN
35,right_hip,12,NaN,NaN
35,left_knee,13,NaN,NaN
35,right_knee,14,NaN,NaN
35,left_ankle,15,NaN,NaN
35,right_ankle,16,NaN,NaN
36,nose,0,958.64825,611.36914
36,left_eye,1,1080.7671,496.47168
36,right_eye,2,904.12476,518.8165
36,left_ear,3,1280.0,544.23474
36,right_ear,4,NaN,NaN
36,left_shoulder,5,NaN,NaN
36,right_shoulder,6,810.6658,933.6586
36,left_elbow,7,NaN,NaN
36,right_elbow,8,NaN,NaN
36,left_wrist,9,NaN,NaN
36,right_wrist,10,NaN,NaN
36,left_hip,11,NaN,NaN
36,right_hip,12,NaN,NaN
36,left_knee,13,NaN,NaN
36,right_knee,14,NaN,NaN
36,left_ankle,15,NaN,NaN
36,right_ankle,16,NaN,NaN
37,nose,0,954.5344,606.7035
